name,repo,ref,description
a5,query-farm/a5,960ca3652954e1b360ce32f3e334705060a80f03,"Hierarchical pentagonial indexing for geospatial data that is equal-area and millimeter accurate."
adbc,columnar-tech/duckdb-adbc-client,e0c62ee9e6557c31fd2ea7ead773ea338567612a,"Connects DuckDB to any database that has an Arrow Database Connectivity (ADBC) driver."
adbc_scanner,query-farm/adbc_scanner,021d0be27bd50b7d0920e759f5b7179909b59987,"An ADBC client extension for DuckDB that can access ADBC provided data sources."
agent_data,axsaucedo/agent_data_duckdb,ca2c0b85d1065aa58cea6211e6d1e982f340b3bf,"A DuckDB extension written in Rust for querying, analysing and inspecting AI coding agents history. Read conversations, plans, todos, history, and usage stats directly from your local agent data directories."
airport,query-farm/airport,a7f0b7ef9add0bb000585b11a847ea9c8460d4d9,"The Airport extension brings Arrow Flight support to DuckDB, enabling DuckDB to query, modify, and store data from Arrow Flight servers."
aixchess,thomas-daniels/aix,728e58fb70d343b6b69a9d0bc395db5309b4dc65,"Efficiently query large chess game collections"
altertable,altertable-ai/duckdb-altertable,0def150caa4c82b4e6886be99117584d529bd4ce,"Query Altertable's lakehouse directly from your local DuckDB."
anndata,honicky/anndata-duckdb-extension,208e55eab2e8f92d3f15eccd4ae3a0313582eddc,"Read AnnData (.h5ad) files for single-cell genomics data analysis, with support for local and remote (HTTP/HTTPS/S3) files"
anofox_forecast,DataZooDE/anofox-forecast,a9328e1cb26a190ab2160d59225a1abfd647dd95,"Statistical timeseries forecasting in DuckDB. Supports ARIMA, ETS, Theta, TBATS, MFLES, MSTL, Croston, GARCH, and other models."
anofox_optimize,DataZooDE/anofox-optimize,2e2073098660f245204a1cc49de52506a900dc1b,"Combinatorial decision algorithms as SQL — bin packing, knapsack, wave batching, sequencing, scheduling, assortment and portfolio selection"
anofox_scenario,DataZooDE/anofox-scenario,7d2ca9b03ae82c8248a32d4d0ed6c4da8144c5ef,"Git-like branching for analytical databases. Attach isolated what-if scenarios as catalogs, edit them with ordinary SQL on copy-on-write delta storage, branch, diff, and merge them back."
anofox_similarity,DataZooDE/anofox-similarity,a1f329752f2d80ca64a92713c6eac8ee9cfc664c,"Multi-modal product similarity search for manufacturing supply chain planning. Find similar materials by BOM component overlap (Jaccard), graph-structural similarity (Weisfeiler-Lehman kernel), text embeddings, and transactional patterns, with predecessor detection and cold-start analog matching for demand forecasting."
anofox_statistics,DataZooDE/anofox-statistics,v0.9.0,"A DuckDB extension for statistical regression and inference in SQL - OLS, Ridge, Elastic Net, LARS/LassoLars, WLS, recursive least squares, robust estimators (Huber, RANSAC, Theil-Sen), GLMs (Poisson, Negative Binomial, Binomial, Tweedie, Gamma, Logistic) with offset support, mixed-effects/hierarchical GLMs with random slopes and crossed/nested factors, AFT survival regression, explicit priors with Laplace intervals, empirical-Bayes shrinkage, and time-series regression, all with full diagnostics and inference."
anofox_tabfm,DataZooDE/anofox-tabfm,94d7f0e45a2bd18066b8f52bf004a81351511dd6,"Zero-shot tabular machine learning inside DuckDB — classification, regression, synthetic-data generation and imputation with real tabular foundation models (Mitra, TabDPT, TabPFN v2/2.5/2.6/3, TabICL, Orion-BiX/MSP, TabFM) on ONNX Runtime, no training loop"
anofox_tabular,DataZooDE/anofox-tabular,40ab2d3ce2760e77f0b64824852ac6adefad291b,"A duckdb extension which combines data quality and data preparation tools for tabular data."
anofox_visualization,DataZooDE/anofox-visualization,d9aaf93fb80497c07e0586a1cccd3f2647dda964,"Render charts and dashboards straight from SQL — the ggplot-rs grammar of graphics, emitted as SVG."
nanoarrow,paleolimbot/duckdb-nanoarrow,42e4199a67c4cd0789087562a025e87e7130fdc3,"Allows the consumption and production of the Apache Arrow interprocess communication (IPC) format, both from files and directly from stream buffers."
astro,synapticore-io/astro-duck,a9f49d72ff4fd4c56a4ae0927172c15b204b910b,"Astronomical calculations + FITS file I/O - coordinate transforms, photometry, cosmology, dust extinction, sidereal time"
behavioral,tomtom215/duckdb-behavioral,649dbac043925ff478d52d1be342734793dcca36,"Behavioral analytics functions inspired by ClickHouse (sessionize, retention, window_funnel, window_funnel_events, sequence_match, sequence_count, sequence_match_events, sequence_next_node)"
bigquery,hafenkran/duckdb-bigquery,0c55a9b81646002edc0c73f36b703c8c39cea2ab,"Integrates DuckDB with Google BigQuery, allowing direct querying and management of BigQuery datasets"
bitfilters,query-farm/bitfilters,600e013ae543a81b25eaa65ed616ae9b5f1bb618,"Provides high-performance, space-efficient probabilistic data structures—including quotient, XOR, and binary fuse filters—for fast approximate set membership testing with no false negatives and configurable false positive rates."
